year,totalvotes,democrat_voter,other_voter,republican_voter,gisjoin
2008,19483,6999,293,12191,G1702030
2008,13513,4928,181,8404,G1800010
2008,150324,71263,1268,77793,G1800030
2008,31043,13567,409,17067,G1800050
2008,3814,1563,68,2183,G1800070
2008,5441,2677,74,2690,G1800090
2008,26647,9752,273,16622,G1800110
2008,8055,3854,141,4060,G1800130
2008,8736,3736,142,4858,G1800150
2008,15653,7011,296,8346,G1800170
2008,47725,21953,446,25326,G1800190
2008,11395,4954,174,6267,G1800210
2008,12392,5307,166,6919,G1800230
2008,4744,2286,65,2393,G1800250
2008,10586,3370,118,7098,G1800270
2008,22217,7123,208,14886,G1800290
